# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-05-22 20:10:06 EDT       (vaww02)
#
# Data for the following 33 site(s) are contained in this file
#    USGS 10293000 E WALKER RV NR BRIDGEPORT, CA
#    USGS 10308200 E FK CARSON RV BLW MARKLEEVILLE CK NR MARKLEEVILLE
#    USGS 10344400 LITTLE TRUCKEE R AB BOCA RES NR TRUCKEE CA
#    USGS 10346000 TRUCKEE R A FARAD CA
#    USGS 11160500 SAN LORENZO R A BIG TREES CA
#    USGS 11161000 SAN LORENZO R A SANTA CRUZ CA
#    USGS 11355010 PIT R BL PIT NO 1 PH NR FALL RIVER MILLS CA
#    USGS 11355500 HAT C NR HAT CREEK CA
#    USGS 11377100 SACRAMENTO R AB BEND BRIDGE NR RED BLUFF CA
#    USGS 11389500 SACRAMENTO R A COLUSA CA
#    USGS 11413000 N YUBA R BL GOODYEARS BAR CA
#    USGS 11421000 YUBA R NR MARYSVILLE CA
#    USGS 11427000 NF AMERICAN R A NORTH FORK DAM CA
#    USGS 11454000 PUTAH C NR WINTERS CA
#    USGS 11467000 RUSSIAN R A HACIENDA BRIDGE NR GUERNEVILLE CA
#    USGS 11468000 NAVARRO R NR NAVARRO CA
#    USGS 11468500 NOYO R NR FORT BRAGG CA
#    USGS 11468900 MATTOLE R NR ETTERSBURG CA
#    USGS 11469000 MATTOLE R NR PETROLIA CA
#    USGS 11475000 EEL R A FORT SEWARD CA
#    USGS 11477000 EEL R A SCOTIA CA
#    USGS 11478500 VAN DUZEN R NR BRIDGEVILLE CA
#    USGS 11481000 MAD R NR ARCATA CA
#    USGS 11482500 REDWOOD C A ORICK CA
#    USGS 11525500 TRINITY R A LEWISTON CA
#    USGS 11526250 TRINITY R A JUNCTION CITY CA
#    USGS 11527000 TRINITY R NR BURNT RANCH CA
#    USGS 11532500 SMITH R NR CRESCENT CITY CA
#    USGS 14303600 NESTUCCA RIVER NEAR BEAVER, OR
#    USGS 14319500 NORTH UMPQUA RIVER AT WINCHESTER, OR
#    USGS 14321000 UMPQUA RIVER NEAR ELKTON, OR
#    USGS 14361500 ROGUE RIVER AT GRANTS PASS, OR
#    USGS 14372300 ROGUE RIVER NEAR AGNESS, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 10293000
#            TS   parameter     statistic     Description
#        102494       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     R  Records for these data have been revised. [https://waterdata.usgs.gov/usa/nwis/revision/?site_no=10293000&ts_ids=102494]
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	102494_00060_00003	102494_00060_00003_cd
USGS	10293000	2012-11-21	23.2	A
USGS	10293000	2012-11-22	23.2	A
USGS	10293000	2012-11-23	23.2	A
USGS	10293000	2012-11-24	23.2	A
USGS	10293000	2012-11-25	23.2	A
USGS	10293000	2012-11-26	23.2	A
USGS	10293000	2012-11-27	23.2	A
USGS	10293000	2012-11-28	23.2	A
USGS	10293000	2012-11-29	23.2	A
USGS	10293000	2012-11-30	23.2	A
USGS	10293000	2012-12-01	23.2	A
USGS	10293000	2012-12-02	23.2	A
USGS	10293000	2012-12-03	23.2	A
USGS	10293000	2012-12-04	23.2	A
USGS	10293000	2012-12-05	23.2	A
USGS	10293000	2012-12-06	23.2	A
USGS	10293000	2012-12-07	23.2	A
USGS	10293000	2012-12-08	23.2	A
USGS	10293000	2012-12-09	23.2	A
USGS	10293000	2012-12-10	23.2	A
USGS	10293000	2012-12-11	23.2	A
USGS	10293000	2012-12-12	23.2	A
USGS	10293000	2012-12-13	23.2	A
USGS	10293000	2012-12-14	23.2	A
USGS	10293000	2012-12-15	23.2	A
USGS	10293000	2012-12-16	23.2	A
USGS	10293000	2012-12-17	23.2	A
USGS	10293000	2012-12-18	23.2	A
USGS	10293000	2012-12-19	27.8	A
USGS	10293000	2012-12-20	32.5	A
USGS	10293000	2012-12-21	32.5	A
USGS	10293000	2012-12-22	32.5	A
USGS	10293000	2012-12-23	32.5	A
USGS	10293000	2012-12-24	32.5	A
USGS	10293000	2012-12-25	32.5	A
USGS	10293000	2012-12-26	27.8	A
USGS	10293000	2012-12-27	26.1	A
USGS	10293000	2012-12-28	32.5	A
USGS	10293000	2012-12-29	32.5	A
USGS	10293000	2012-12-30	32.5	A
USGS	10293000	2012-12-31	32.4	A
USGS	10293000	2013-01-01	32.4	A
USGS	10293000	2013-01-02	31.9	A
USGS	10293000	2013-01-03	31.9	A
USGS	10293000	2013-01-04	32.0	A
USGS	10293000	2013-01-05	32.3	A
USGS	10293000	2013-01-06	32.5	A
USGS	10293000	2013-01-07	32.5	A
USGS	10293000	2013-01-08	32.5	A
USGS	10293000	2013-01-09	32.3	A
USGS	10293000	2013-01-10	32.5	A
USGS	10293000	2013-01-11	32.5	A
USGS	10293000	2013-01-12	32.5	A
USGS	10293000	2013-01-13	32.4	A
USGS	10293000	2013-01-14	32.5	A
USGS	10293000	2013-01-15	32.5	A
USGS	10293000	2013-01-16	32.5	A
USGS	10293000	2013-01-17	32.5	A
USGS	10293000	2013-01-18	32.5	A
USGS	10293000	2013-01-19	32.5	A
USGS	10293000	2013-01-20	32.5	A
USGS	10293000	2013-01-21	32.5	A
USGS	10293000	2013-01-22	32.5	A
USGS	10293000	2013-01-23	32.5	A
USGS	10293000	2013-01-24	32.5	A
USGS	10293000	2013-01-25	32.8	A
USGS	10293000	2013-01-26	33.0	A
USGS	10293000	2013-01-27	33.3	A
USGS	10293000	2013-01-28	33.4	A
USGS	10293000	2013-01-29	33.4	A
USGS	10293000	2013-01-30	33.4	A
USGS	10293000	2013-01-31	33.4	A
USGS	10293000	2013-02-01	33.4	A
USGS	10293000	2013-02-02	33.4	A
USGS	10293000	2013-02-03	33.4	A
USGS	10293000	2013-02-04	26.8	A
USGS	10293000	2013-02-05	22.1	A
USGS	10293000	2013-02-06	22.1	A
USGS	10293000	2013-02-07	21.8	A
USGS	10293000	2013-02-08	22.3	A
USGS	10293000	2013-02-09	22.1	A
USGS	10293000	2013-02-10	21.7	A
USGS	10293000	2013-02-11	21.7	A
USGS	10293000	2013-02-12	21.7	A
USGS	10293000	2013-02-13	21.7	A
USGS	10293000	2013-02-14	21.7	A
USGS	10293000	2013-02-15	21.7	A
USGS	10293000	2013-02-16	21.7	A
USGS	10293000	2013-02-17	21.7	A
USGS	10293000	2013-02-18	21.9	A
USGS	10293000	2013-02-19	22.3	A
USGS	10293000	2013-02-20	22.4	A
USGS	10293000	2013-02-21	22.4	A
USGS	10293000	2013-02-22	22.4	A
USGS	10293000	2013-02-23	22.4	A
USGS	10293000	2013-02-24	22.4	A
USGS	10293000	2013-02-25	22.4	A
USGS	10293000	2013-02-26	22.4	A
USGS	10293000	2013-02-27	22.4	A
USGS	10293000	2013-02-28	22.7	A
USGS	10293000	2013-03-01	22.9	A
USGS	10293000	2013-03-02	26.4	A
USGS	10293000	2013-03-03	41.4	A
USGS	10293000	2013-03-04	53.4	A
USGS	10293000	2013-03-05	87.1	A
USGS	10293000	2013-03-06	112	A
USGS	10293000	2013-03-07	100	A
USGS	10293000	2013-03-08	82.2	A
USGS	10293000	2013-03-09	82.2	A
USGS	10293000	2013-03-10	82.0	A
USGS	10293000	2013-03-11	77.5	A
USGS	10293000	2013-03-12	70.9	A
USGS	10293000	2013-03-13	70.6	A
USGS	10293000	2013-03-14	70.8	A
USGS	10293000	2013-03-15	70.8	A
USGS	10293000	2013-03-16	70.7	A
USGS	10293000	2013-03-17	70.7	A
USGS	10293000	2013-03-18	63.2	A
USGS	10293000	2013-03-19	50.3	A
USGS	10293000	2013-03-20	42.3	A
USGS	10293000	2013-03-21	41.8	A
USGS	10293000	2013-03-22	41.7	A
USGS	10293000	2013-03-23	41.4	A
USGS	10293000	2013-03-24	41.4	A
USGS	10293000	2013-03-25	41.4	A
USGS	10293000	2013-03-26	41.4	A
USGS	10293000	2013-03-27	41.4	A
USGS	10293000	2013-03-28	41.4	A
USGS	10293000	2013-03-29	41.4	A
USGS	10293000	2013-03-30	41.4	A
USGS	10293000	2013-03-31	41.4	A
USGS	10293000	2013-04-01	52.5	A
USGS	10293000	2013-04-02	59.9	A
USGS	10293000	2013-04-03	59.9	A
USGS	10293000	2013-04-04	59.9	A
USGS	10293000	2013-04-05	59.9	A
USGS	10293000	2013-04-06	59.9	A
USGS	10293000	2013-04-07	59.9	A
USGS	10293000	2013-04-08	59.9	A
USGS	10293000	2013-04-09	59.9	A
USGS	10293000	2013-04-10	52.2	A
USGS	10293000	2013-04-11	37.5	A
USGS	10293000	2013-04-12	32.5	A
USGS	10293000	2013-04-13	32.0	A
USGS	10293000	2013-04-14	31.7	A
USGS	10293000	2013-04-15	53.3	A
USGS	10293000	2013-04-16	83.6	A
USGS	10293000	2013-04-17	63.3	A
USGS	10293000	2013-04-18	41.4	A
USGS	10293000	2013-04-19	41.4	A
USGS	10293000	2013-04-20	37.4	A
USGS	10293000	2013-04-21	31.9	A
USGS	10293000	2013-04-22	32.2	A
USGS	10293000	2013-04-23	40.6	A
USGS	10293000	2013-04-24	51.3	A
USGS	10293000	2013-04-25	51.3	A
USGS	10293000	2013-04-26	51.2	A
USGS	10293000	2013-04-27	51.1	A
USGS	10293000	2013-04-28	50.3	A
USGS	10293000	2013-04-29	50.2	A
USGS	10293000	2013-04-30	50.3	A
USGS	10293000	2013-05-01	58.4	A
USGS	10293000	2013-05-02	69.2	A
USGS	10293000	2013-05-03	69.2	A
USGS	10293000	2013-05-04	69.2	A
USGS	10293000	2013-05-05	68.8	A
USGS	10293000	2013-05-06	67.9	A
USGS	10293000	2013-05-07	68.0	A
USGS	10293000	2013-05-08	68.1	A
USGS	10293000	2013-05-09	72.1	A
USGS	10293000	2013-05-10	82.2	A
USGS	10293000	2013-05-11	91.8	A
USGS	10293000	2013-05-12	98.0	A
USGS	10293000	2013-05-13	106	A
USGS	10293000	2013-05-14	117	A
USGS	10293000	2013-05-15	117	A
USGS	10293000	2013-05-16	117	A
USGS	10293000	2013-05-17	117	A
USGS	10293000	2013-05-18	109	A
USGS	10293000	2013-05-19	98.0	A
USGS	10293000	2013-05-20	98.0	A
USGS	10293000	2013-05-21	98.0	A
USGS	10293000	2013-05-22	93.3	A
USGS	10293000	2013-05-23	75.3	A
USGS	10293000	2013-05-24	58.7	A
USGS	10293000	2013-05-25	58.7	A
USGS	10293000	2013-05-26	58.7	A
USGS	10293000	2013-05-27	58.7	A
USGS	10293000	2013-05-28	58.7	A
USGS	10293000	2013-05-29	58.7	A
USGS	10293000	2013-05-30	71.0	A
USGS	10293000	2013-05-31	87.2	A
USGS	10293000	2013-06-01	79.8	A
USGS	10293000	2013-06-02	67.9	A
USGS	10293000	2013-06-03	81.5	A
USGS	10293000	2013-06-04	113	A
USGS	10293000	2013-06-05	130	A
USGS	10293000	2013-06-06	137	A
USGS	10293000	2013-06-07	140	A
USGS	10293000	2013-06-08	141	A
USGS	10293000	2013-06-09	141	A
USGS	10293000	2013-06-10	141	A
